Product_ID,Company,Product_Name,Category,Initial_Stock,Current_Stock,Cost_Price,Selling_Price,Commission_Type,Commission_Value,Active,Low_Stock_Threshold
SAB-3B3DA,Sabahar,100% Cotton Hand Towel 50x80,Textiles,4,4,0.0,400.0,Percentage,20,TRUE,5
SAB-60EE5,Sabahar,Degu Scarf,Textiles,1,1,0.0,700.0,Percentage,20,TRUE,5
SAB-3117D,Sabahar,Noah Scarf/ line/ 45x200,Textiles,1,1,0.0,1100.0,Percentage,20,TRUE,5
SAB-693AF,Sabahar,Beach Towel 100x180 cm,Textiles,7,7,0.0,1050.0,Percentage,20,TRUE,5
SAB-4D6C8,Sabahar,Zenach Throw,Textiles,3,3,0.0,2300.0,Percentage,20,TRUE,5
SAB-F43AF,Sabahar,Judith Shawl 75x210,Textiles,1,1,0.0,950.0,Percentage,20,TRUE,5
SAB-88831,Sabahar,Stella Shawl 70x200,Textiles,1,1,0.0,1700.0,Percentage,20,TRUE,5
SAB-F8C23,Sabahar,Yeshi Shawl 70x200cm,Textiles,1,1,0.0,850.0,Percentage,20,TRUE,5
SAB-E5CF4,Sabahar,Maraki,Textiles,1,1,0.0,850.0,Percentage,20,TRUE,5
SAB-CC822,Sabahar,Plaid Shawl Wool,Textiles,1,1,0.0,1600.0,Percentage,20,TRUE,5
SAB-8D6A1,Sabahar,Joy Shawl 70x200,Textiles,1,1,0.0,700.0,Percentage,20,TRUE,5
SAB-AC317,Sabahar,Tabita Scarf 45x200cm,Textiles,1,1,0.0,600.0,Percentage,20,TRUE,5
SAB-2A938,Sabahar,Henock Scarf 45x200cm,Textiles,2,2,0.0,850.0,Percentage,20,TRUE,5
SAB-77729,Sabahar,Total,Textiles,25,25,0.0,0.0,Percentage,20,TRUE,5
SAB-04895,Sabahar,Wubet shawel 70*200,Textiles,2,2,0.0,850.0,Percentage,20,TRUE,5
SAB-08EB9,Sabahar,Henock scarf 45*200,Textiles,3,3,0.0,850.0,Percentage,20,TRUE,5
SAB-0DC9F,Sabahar,Habesha Shawl (with tibeb) 70*200,Textiles,3,3,0.0,900.0,Percentage,20,TRUE,5
SAB-F9132,Sabahar,100% cotton hand towel 50*200,Textiles,30,30,0.0,400.0,Percentage,20,TRUE,5
SAB-16B0B,Sabahar,Danakil 45*200,Textiles,1,1,0.0,0.0,Percentage,20,TRUE,5
SAB-21926,Sabahar,Beach towel,Textiles,2,2,0.0,0.0,Percentage,20,TRUE,5
SAB-508E6,Sabahar,"table runner ,fetel(ribbons,rainbow,ocean blue)",Textiles,1,1,0.0,0.0,Percentage,20,TRUE,5
SAB-A93E9,Sabahar,Maraki,Textiles,8,8,0.0,850.0,Percentage,20,TRUE,5
SAB-80798,Sabahar,Judith shawl 75*210,Textiles,6,6,0.0,950.0,Percentage,20,TRUE,5
SAB-25A1B,Sabahar,timket shawl,Textiles,2,2,0.0,0.0,Percentage,20,TRUE,5
SAB-980F6,Sabahar,joy shawl 70*200,Textiles,2,2,0.0,1700.0,Percentage,20,TRUE,5
SAB-DB1A5,Sabahar,Debora Shawl,Textiles,1,1,0.0,1100.0,Percentage,20,TRUE,5
SAB-8936B,Sabahar,queen taita,Textiles,1,1,0.0,900.0,Percentage,20,TRUE,5
SAB-5F429,Sabahar,beach towel 100*180,Textiles,8,8,0.0,1050.0,Percentage,20,TRUE,5
